27, 125 pa2-unknown-i-our-output2.txt
  475.53,   353.00,   471.88
  224.59,    98.97,   350.64
  223.27,   100.58,   475.47
  222.29,   102.29,   600.58
  222.42,   224.16,   348.82
  220.97,   225.72,   473.88
  219.70,   227.33,   598.78
  219.93,   349.04,   347.28
  218.97,   350.57,   472.52
  217.53,   352.04,   597.48
  349.61,   101.30,   351.59
  348.36,   103.02,   476.58
  347.20,   104.46,   601.78
  347.20,   226.24,   350.07
  346.18,   227.75,   475.13
  344.94,   229.28,   600.26
  345.14,   351.07,   348.65
  343.94,   352.77,   473.59
  342.57,   354.59,   598.60
  474.45,   103.61,   353.18
  473.38,   105.26,   478.24
  471.99,   106.78,   603.15
  472.26,   228.79,   351.21
  471.10,   230.40,   476.37
  469.83,   231.66,   601.26
  470.07,   353.62,   349.87
  468.86,   355.22,   474.70
  467.74,   356.66,   599.88
  224.64,    98.68,   473.55
  226.29,   102.05,   598.31
  228.40,   105.94,   723.31
  224.29,   223.63,   469.62
  226.17,   227.36,   594.86
  227.80,   230.64,   719.65
  223.95,   348.46,   466.23
  225.56,   352.23,   590.91
  227.62,   355.86,   716.15
  349.47,    98.76,   471.39
  351.42,   102.43,   596.38
  353.32,   106.22,   721.43
  349.16,   223.91,   467.91
  351.05,   227.61,   592.77
  353.01,   231.29,   717.67
  348.80,   348.90,   464.35
  350.55,   352.67,   589.20
  352.43,   356.29,   714.28
  474.73,    99.20,   469.85
  476.28,   102.86,   594.75
  478.30,   106.48,   719.54
  474.30,   224.32,   466.26
  476.06,   228.01,   590.94
  477.88,   231.34,   715.95
  473.65,   349.27,   462.55
  475.70,   352.89,   587.32
  477.46,   356.42,   712.21
  226.56,   100.83,   600.37
  227.49,   104.37,   725.37
  228.48,   107.79,   850.41
  229.96,   225.74,   597.06
  231.33,   228.95,   722.19
  232.25,   232.68,   846.87
  233.84,   350.67,   593.57
  234.79,   354.29,   718.68
  236.24,   357.65,   843.69
  351.44,    97.25,   599.63
  352.48,   100.49,   724.66
  353.43,   104.08,   849.26
  354.97,   221.80,   596.17
  356.17,   225.45,   721.07
  357.18,   228.92,   846.03
  358.89,   346.94,   592.68
  359.69,   350.21,   717.59
  361.14,   353.96,   842.61
  476.37,    93.61,   598.64
  477.41,    96.86,   723.33
  478.54,   100.14,   848.61
  480.07,   218.29,   595.11
  481.21,   221.56,   719.94
  482.19,   225.35,   844.86
  483.58,   343.24,   591.66
  484.66,   346.76,   716.65
  485.82,   350.34,   841.49
  224.94,   223.85,   100.20
  225.09,   227.51,   225.17
  225.23,   231.04,   350.01
  225.64,   349.14,    96.70
  225.93,   352.37,   221.82
  225.90,   356.19,   346.63
  226.16,   473.69,    93.17
  226.49,   477.40,   217.91
  226.77,   480.99,   342.83
  349.84,   223.24,   100.16
  350.31,   226.61,   225.02
  350.18,   230.47,   350.13
  350.60,   348.19,    96.55
  351.00,   351.67,   221.32
  351.07,   355.28,   346.37
  351.60,   473.20,    93.04
  351.41,   476.57,   217.73
  351.76,   480.22,   342.71
  474.95,   222.41,    99.94
  475.21,   226.30,   224.72
  475.23,   229.79,   349.93
  475.85,   347.60,    96.35
  475.93,   351.17,   221.44
  475.98,   354.55,   346.33
  476.29,   472.47,    92.83
  476.59,   475.88,   217.78
  476.57,   479.69,   342.78
  224.81,   223.52,   226.39
  223.34,   223.98,   351.15
  221.66,   224.61,   476.24
  221.16,   348.45,   225.60
  219.96,   349.06,   350.54
  218.07,   349.88,   475.46
  217.84,   473.04,   224.68
  216.42,   473.79,   349.86
  215.08,   474.61,   474.61
  349.48,   226.63,   227.82
  347.91,   227.54,   352.81
  346.69,   227.97,   477.62
  346.34,   351.70,   226.81
  344.61,   352.24,   351.99
  343.32,   353.17,   477.02
  342.98,   476.50,   226.03
  341.54,   477.16,   350.99
  339.92,   478.12,   476.19
  474.49,   230.04,   229.07
  473.12,   230.79,   354.00
  471.73,   231.65,   479.10
  471.14,   355.01,   228.31
  469.77,   355.89,   353.41
  468.09,   356.68,   478.31
  467.85,   479.94,   227.46
  466.16,   480.56,   352.68
  464.60,   481.63,   477.55
  225.02,   225.76,   350.30
  221.97,   228.89,   475.34
  218.41,   232.10,   600.34
  225.76,   350.61,   347.36
  222.62,   354.03,   472.36
  219.41,   356.75,   597.22
  226.53,   475.87,   344.31
  223.23,   478.82,   469.40
  220.03,   481.79,   594.26
  349.82,   225.13,   353.87
  346.76,   228.21,   478.81
  343.52,   231.30,   603.57
  350.66,   350.01,   350.89
  347.47,   353.34,   475.55
  344.10,   356.31,   600.68
  351.46,   475.28,   347.44
  348.06,   478.27,   472.63
  344.78,   481.51,   597.56
  475.01,   224.54,   357.13
  471.54,   227.73,   482.02
  468.31,   230.87,   606.74
  475.75,   349.72,   354.12
  472.55,   352.65,   478.91
  469.20,   355.81,   603.66
  476.18,   474.46,   350.89
  473.07,   477.77,   475.94
  469.97,   480.62,   600.69
  226.94,   224.23,   475.59
  224.94,   226.16,   600.38
  223.50,   228.18,   725.31
  229.63,   349.05,   473.67
  228.16,   351.37,   598.64
  226.47,   353.17,   723.34
  232.69,   474.15,   471.39
  230.89,   476.07,   596.66
  229.24,   478.14,   721.31
  351.42,   221.42,   477.23
  349.80,   223.54,   602.17
  348.51,   225.38,   727.23
  354.72,   346.40,   475.30
  352.74,   348.15,   600.04
  351.41,   350.12,   725.06
  357.59,   471.09,   473.24
  355.70,   473.42,   598.36
  354.23,   475.21,   723.30
  476.69,   218.63,   478.71
  475.04,   220.31,   604.01
  473.53,   222.61,   728.77
  479.51,   343.45,   477.08
  477.74,   345.33,   601.69
  476.39,   347.54,   726.73
  482.58,   468.25,   474.85
  480.78,   470.40,   600.05
  479.23,   472.30,   724.90
  226.78,   225.97,   597.88
  226.27,   222.29,   722.86
  226.21,   218.65,   847.98
  223.35,   350.89,   601.75
  222.96,   347.34,   726.57
