27, 125 pa2-debug-b-our-output2.txt
  223.28,   350.24,   346.93
  223.53,   350.99,   472.05
  351.39,   100.27,   224.07
  352.05,   101.35,   348.95
  352.19,   103.02,   474.06
  349.45,   225.30,   223.21
  350.05,   226.53,   347.84
  350.56,   227.79,   472.72
  347.97,   350.03,   221.48
  348.23,   351.26,   346.37
  348.82,   352.96,   471.45
  475.89,   101.61,   223.53
  476.71,   103.25,   348.33
  476.70,   104.65,   474.03
  474.72,   227.25,   222.61
  475.39,   227.91,   347.20
  475.64,   229.32,   472.21
  473.32,   351.60,   220.70
  473.21,   353.07,   345.82
  473.59,   354.22,   470.60
  225.39,   101.03,   350.47
  222.67,    98.87,   475.89
  219.35,    96.23,   600.59
  227.16,   226.34,   353.22
  223.75,   223.80,   478.64
  220.28,   220.86,   603.46
  228.68,   350.71,   355.42
  225.07,   348.58,   480.35
  221.68,   346.15,   605.43
  350.41,    99.88,   353.48
  347.60,    97.61,   478.47
  344.71,    94.79,   603.35
  351.78,   224.57,   356.01
  348.63,   222.05,   481.43
  345.63,   219.61,   606.43
  353.27,   349.27,   359.12
  349.76,   347.33,   483.56
  347.00,   344.34,   609.04
  475.71,    98.16,   356.48
  471.95,    95.68,   481.50
  469.48,    92.92,   606.98
  476.63,   223.38,   359.63
  473.74,   220.35,   484.65
  470.50,   218.19,   609.66
  478.67,   347.66,   361.57
  474.56,   345.61,   486.48
  471.61,   342.93,   611.92
  224.18,    99.83,   473.67
  222.32,    98.39,   598.17
  220.47,    97.25,   723.38
  220.39,   225.51,   475.07
  218.61,   223.25,   599.98
  217.14,   221.83,   724.45
  217.56,   350.07,   476.70
  215.54,   348.24,   601.13
  214.00,   346.79,   726.23
  348.97,   103.70,   475.18
  347.32,   102.32,   599.85
  345.31,   100.45,   724.91
  345.37,   228.19,   476.80
  343.44,   227.42,   601.47
  342.44,   225.15,   726.30
  342.49,   353.36,   478.03
  340.54,   351.83,   603.11
  338.57,   350.72,   727.70
  473.85,   107.29,   476.99
  471.88,   105.16,   602.06
  469.98,   103.72,   726.24
  470.86,   231.81,   478.31
  468.18,   230.65,   602.94
  467.40,   228.76,   728.25
  467.48,   356.56,   479.82
  465.34,   355.43,   604.62
  463.99,   354.11,   730.20
  225.82,   101.60,   600.26
  229.32,    98.38,   725.03
  232.30,    95.80,   850.00
  225.73,   226.46,   603.71
  228.72,   223.59,   728.46
  231.54,   220.23,   853.37
  224.45,   351.14,   606.00
  227.74,   348.76,   731.10
  230.26,   345.59,   856.09
  350.80,   102.69,   597.52
  354.38,    99.28,   722.24
  357.32,    96.45,   847.38
  350.48,   227.49,   600.25
  353.51,   224.32,   725.14
  356.07,   221.14,   850.44
  349.18,   352.71,   603.20
  352.45,   349.06,   728.53
  355.85,   346.38,   853.76
  476.30,   103.30,   594.48
  479.51,    99.97,   719.25
  481.64,    97.50,   843.61
  475.61,   227.83,   597.59
  478.31,   225.25,   722.27
  480.90,   221.88,   847.53
  474.82,   353.27,   600.75
  477.90,   350.43,   725.45
  480.67,   347.62,   850.60
  225.14,   226.83,   100.84
  226.30,   229.05,   226.30
  226.94,   230.34,   350.44
  226.89,   351.32,    99.45
  228.74,   353.26,   224.10
  229.66,   354.92,   348.73
  228.84,   477.06,    97.35
  230.41,   478.62,   222.06
  230.96,   479.87,   347.72
  349.75,   224.75,   100.23
  351.48,   226.38,   225.07
  352.67,   227.79,   349.53
  352.02,   349.42,    98.40
  353.39,   351.39,   223.09
  354.16,   353.08,   347.83
  354.44,   474.20,    96.73
  355.73,   476.44,   221.22
  356.63,   478.48,   346.59
  475.25,   222.25,    98.99
  475.78,   224.61,   224.13
  477.43,   225.86,   348.57
  477.04,   347.47,    97.48
  477.92,   349.71,   222.52
  479.40,   351.20,   346.62
  479.47,   472.08,    95.33
  479.96,   474.20,   220.37
  481.65,   476.08,   344.82
  226.90,   223.24,   225.82
  229.93,   221.56,   350.60
  232.03,   220.08,   475.52
  230.51,   348.81,   227.14
  233.23,   347.18,   352.40
  235.68,   345.73,   477.09
  233.97,   472.85,   228.72
  237.01,   472.10,   353.54
  239.67,   470.14,   479.01
  351.59,   220.28,   223.40
  354.13,   218.46,   347.68
  356.87,   216.74,   472.91
  355.65,   344.54,   224.33
  357.77,   343.58,   349.72
  360.65,   341.31,   474.17
  359.56,   470.09,   226.04
  361.28,   468.09,   350.46
  364.17,   466.42,   475.80
  477.19,   216.72,   220.02
  479.01,   214.36,   345.85
  482.35,   213.16,   470.36
  480.30,   340.88,   221.76
  482.87,   339.99,   346.79
  485.89,   338.19,   471.61
  483.65,   466.11,   222.83
  486.69,   465.01,   348.12
  489.40,   462.92,   473.28
  223.81,   223.81,   348.76
  224.41,   223.79,   473.07
  226.30,   223.21,   598.22
  219.69,   349.47,   349.46
  220.95,   348.17,   474.30
  222.63,   348.06,   598.79
  215.93,   474.61,   349.42
