27, 125 pa2-unknown-j-our-output2.txt
  111.39,   853.42,   598.32
  223.24,   597.03,   348.28
  226.43,   598.63,   473.26
  229.31,   599.91,   598.02
  226.89,   722.13,   346.55
  229.86,   723.49,   471.81
  233.02,   724.63,   596.62
  230.33,   846.78,   345.35
  233.39,   848.25,   470.05
  236.47,   849.74,   595.23
  348.05,   593.60,   345.22
  351.34,   594.94,   469.97
  354.23,   596.32,   595.10
  351.73,   718.49,   343.61
  354.88,   719.63,   468.62
  357.77,   721.23,   593.61
  355.05,   843.31,   342.00
  358.36,   844.86,   467.03
  361.42,   846.11,   592.18
  101.92,   601.85,   475.29
   98.63,   598.66,   600.00
   94.96,   595.77,   724.87
  103.77,   726.83,   478.40
  100.62,   723.74,   603.34
   97.18,   720.83,   728.17
  105.93,   851.75,   481.42
  102.57,   848.46,   606.37
   99.01,   845.58,   731.12
  226.98,   599.80,   478.58
  223.45,   596.87,   603.52
  219.99,   593.75,   728.41
  228.69,   724.95,   481.66
  225.49,   721.67,   606.46
  222.10,   718.57,   731.41
  230.87,   849.99,   484.78
  227.52,   846.54,   609.48
  223.88,   843.66,   734.64
  351.91,   597.65,   481.97
  348.41,   594.60,   606.81
  344.89,   591.74,   731.79
  353.93,   722.88,   485.07
  350.27,   719.71,   610.17
  346.89,   716.53,   735.01
  355.67,   847.53,   488.25
  352.26,   844.53,   613.03
  348.85,   841.46,   738.12
   99.83,   598.92,   600.06
  101.76,   601.62,   725.13
  103.57,   604.38,   850.18
   99.46,   723.83,   597.33
  101.13,   726.48,   722.53
  103.12,   729.31,   847.33
   98.49,   848.77,   594.83
  100.49,   851.59,   719.84
  102.32,   854.17,   844.75
  225.00,   599.29,   598.52
  226.62,   602.34,   723.18
  228.68,   604.76,   848.36
  224.12,   724.54,   595.51
  226.12,   727.18,   720.64
  228.09,   729.78,   845.34
  223.43,   849.36,   592.92
  225.57,   852.08,   717.76
  227.35,   854.60,   842.88
  349.77,   600.10,   596.43
  351.76,   602.80,   721.28
  353.73,   605.38,   846.24
  349.28,   725.07,   593.83
  351.22,   727.65,   718.55
  353.01,   730.50,   843.54
  348.47,   850.01,   591.11
  350.42,   852.74,   715.94
  352.32,   855.50,   840.97
  226.20,    98.05,   101.53
  225.61,    96.90,   226.52
  224.72,    95.65,   351.59
  228.28,   223.06,   102.80
  227.68,   221.90,   227.62
  227.09,   220.76,   352.66
  230.33,   348.13,   104.08
  229.94,   346.72,   228.86
  229.17,   345.52,   354.25
  351.12,    96.11,   102.20
  350.44,    94.88,   227.21
  349.73,    93.57,   352.04
  353.30,   221.05,   103.38
  352.88,   219.74,   228.31
  351.88,   218.50,   353.63
  355.54,   345.85,   104.72
  354.69,   344.60,   229.76
  354.01,   343.50,   354.75
  476.19,    93.91,   102.70
  475.48,    92.83,   227.74
  475.01,    91.30,   352.90
  478.31,   218.71,   104.05
  477.67,   217.62,   229.13
  476.94,   216.33,   354.20
  480.46,   343.76,   105.36
  479.95,   342.54,   230.45
  479.09,   341.24,   355.26
  223.51,   101.43,   225.16
  222.77,   102.02,   350.27
  221.97,   102.52,   475.30
  225.78,   226.57,   224.74
  225.05,   227.00,   349.66
  224.09,   227.30,   474.97
  228.14,   351.71,   224.46
  226.98,   352.01,   349.39
  226.39,   352.22,   474.29
  348.64,    99.48,   225.77
  347.72,    99.84,   351.05
  346.88,   100.15,   476.04
  350.89,   224.54,   225.42
  349.80,   224.85,   350.61
  349.00,   225.15,   475.61
  352.72,   349.20,   225.22
  352.16,   349.82,   350.43
  351.35,   349.97,   475.09
  473.39,    97.19,   226.75
  472.59,    97.48,   351.94
  471.94,    97.93,   476.70
  475.83,   222.30,   226.28
  475.00,   222.68,   351.58
  474.24,   223.05,   476.25
  477.73,   347.08,   226.05
  476.98,   347.34,   351.13
  476.17,   347.85,   475.89
  223.42,    99.73,   348.78
  220.66,    97.31,   473.80
  217.39,    95.06,   598.79
  223.60,   224.75,   351.26
  220.32,   222.27,   476.09
  217.51,   219.99,   601.12
  223.50,   349.81,   353.60
  220.51,   347.60,   478.54
  217.48,   344.89,   603.23
  348.56,    99.81,   351.73
  345.62,    97.55,   476.58
  342.33,    95.28,   601.55
  348.40,   224.77,   354.27
  345.37,   222.25,   478.95
  342.49,   220.00,   604.06
  348.25,   349.65,   356.37
  345.53,   347.22,   481.50
  342.62,   344.91,   606.26
  473.42,    99.70,   354.79
  470.54,    97.42,   479.69
  467.60,    94.96,   604.62
  473.51,   224.57,   357.10
  470.59,   222.35,   482.01
  467.49,   219.90,   607.14
  473.38,   349.69,   359.22
  470.54,   347.43,   484.19
  467.52,   345.04,   609.19
  223.63,   101.01,   476.47
  225.86,   102.47,   601.13
  227.79,   104.29,   726.36
  224.60,   225.84,   474.59
  226.92,   227.61,   599.42
  228.93,   229.31,   724.31
  225.69,   350.80,   472.67
  227.86,   352.55,   597.65
  229.94,   354.18,   722.62
  348.53,    99.47,   474.30
  350.84,   101.23,   599.10
  352.86,   103.15,   724.23
  349.59,   224.59,   472.36
  352.04,   226.33,   597.43
  354.06,   228.15,   722.44
  350.87,   349.74,   470.61
  353.02,   351.21,   595.46
  354.92,   353.23,   720.61
  473.76,    98.51,   472.12
  475.61,   100.35,   597.10
  477.88,   102.05,   722.08
  474.67,   223.36,   470.45
  476.85,   225.28,   595.38
  478.90,   227.22,   720.09
  475.89,   348.61,   468.40
  477.70,   350.29,   593.30
  479.92,   352.18,   718.36
  223.29,    99.53,   599.48
  225.89,    96.89,   724.48
  228.15,    93.89,   849.21
  224.41,   224.33,   602.27
  226.56,   221.55,   727.21
  229.00,   218.89,   852.01
  224.88,   349.34,   605.07
  227.42,   346.45,   729.96
  229.78,   343.89,   854.65
  348.47,    98.58,   597.07
  350.68,    95.70,   721.96
  352.88,    93.31,   847.07
  349.22,   223.69,   599.92
  351.56,   220.82,   724.89
  353.93,   218.00,   849.90
  350.13,   348.82,   602.48
  352.50,   346.00,   727.38
  354.66,   343.10,   852.60
  473.23,    98.16,   594.78
  475.66,    95.36,   719.72
  478.13,    92.33,   844.68
  474.18,   222.95,   597.42
  476.46,   220.31,   722.59
  478.66,   217.20,   847.44
  475.06,   347.90,   600.21
  477.28,   344.98,   725.04
  479.48,   342.37,   850.31
  223.25,   223.59,   100.18
  223.44,   220.15,   225.30
  223.35,   216.36,   349.94
  226.19,   348.44,   103.85
  226.20,   344.86,   228.84
  226.48,   341.47,   353.76
  229.11,   473.21,   107.17
  229.30,   469.94,   232.44
  229.53,   466.19,   357.25
  348.13,   220.50,   100.15
  348.39,   216.86,   224.94
