27, 125 pa2-debug-e-our-output2.txt
  343.64,   355.40,   719.30
  343.29,   358.77,   844.24
  475.48,   105.41,   601.41
  474.81,   108.66,   726.32
  474.36,   112.10,   851.31
  472.24,   230.28,   598.02
  471.71,   233.68,   723.01
  471.26,   237.03,   847.91
  469.06,   355.21,   594.65
  468.65,   358.63,   719.63
  468.14,   361.93,   844.62
  223.67,   223.08,    99.05
  224.92,   221.08,   223.90
  225.98,   219.00,   348.88
  221.84,   348.13,   100.85
  223.28,   346.03,   225.95
  224.35,   344.00,   350.96
  220.58,   472.96,   103.27
  221.57,   470.96,   228.05
  222.65,   468.95,   353.03
  348.70,   224.67,    97.75
  349.80,   222.70,   222.74
  351.06,   220.66,   347.69
  346.89,   349.78,    99.72
  348.18,   347.72,   224.76
  349.41,   345.66,   349.74
  345.22,   474.59,   101.86
  346.58,   472.73,   226.77
  347.75,   470.63,   351.82
  473.53,   226.49,    96.55
  474.84,   224.47,   221.52
  476.09,   222.34,   346.47
  472.00,   351.41,    98.64
  473.15,   349.35,   223.59
  474.41,   347.35,   348.51
  470.46,   476.42,   100.68
  471.49,   474.32,   225.69
  472.69,   472.24,   350.62
  225.58,   224.28,   225.32
  227.57,   224.99,   350.30
  229.92,   225.74,   475.31
  225.47,   349.25,   224.58
  227.46,   350.01,   349.59
  229.83,   350.77,   474.49
  225.32,   474.22,   223.87
  227.30,   474.99,   348.86
  229.61,   475.69,   473.79
  350.47,   224.34,   223.21
  352.65,   225.10,   348.18
  354.77,   225.87,   473.19
  350.38,   349.39,   222.45
  352.52,   350.11,   347.42
  354.68,   350.90,   472.40
  350.30,   474.42,   221.66
  352.39,   475.10,   346.70
  354.56,   475.85,   471.67
  475.51,   224.54,   221.05
  477.67,   225.21,   346.00
  479.72,   225.96,   471.05
  475.34,   349.45,   220.33
  477.51,   350.23,   345.25
  479.65,   351.03,   470.28
  475.21,   474.46,   219.63
  477.31,   475.16,   344.56
  479.52,   475.94,   469.56
  224.01,   226.37,   349.58
  224.33,   229.47,   474.56
  224.22,   232.57,   599.50
  222.85,   351.34,   346.50
  223.17,   354.46,   471.39
  223.06,   357.52,   596.43
  221.62,   476.28,   343.41
  221.89,   479.34,   468.32
  221.92,   482.55,   593.31
  349.11,   227.54,   349.45
  349.21,   230.68,   474.45
  349.33,   233.78,   599.35
  347.92,   352.50,   346.34
  348.06,   355.65,   471.30
  348.10,   358.70,   596.28
  346.73,   477.46,   343.25
  346.88,   480.56,   468.21
  346.89,   483.69,   593.18
  474.15,   228.73,   349.28
  474.15,   231.83,   474.31
  474.32,   234.90,   599.24
  472.92,   353.69,   346.17
  473.02,   356.84,   471.18
  473.16,   359.86,   596.10
  471.67,   478.58,   343.13
  471.84,   481.72,   468.09
  471.97,   484.86,   593.01
  224.57,   224.92,   474.05
  226.56,   223.79,   599.01
  228.90,   222.62,   724.00
  224.35,   349.95,   475.14
  226.30,   348.76,   600.21
  228.62,   347.69,   725.11
  224.00,   474.88,   476.33
  226.09,   473.83,   601.34
  228.48,   472.59,   726.27
  349.43,   225.23,   471.90
  351.64,   224.10,   596.81
  353.85,   222.92,   721.82
  349.21,   350.25,   472.99
  351.34,   349.05,   597.98
  353.54,   347.94,   722.96
  348.96,   475.20,   474.16
  351.06,   474.07,   599.16
  353.27,   472.86,   724.13
  474.37,   225.48,   469.70
  476.63,   224.31,   594.64
  478.70,   223.19,   719.64
  474.16,   350.54,   470.82
  476.37,   349.30,   595.76
  478.58,   348.25,   720.77
  473.90,   475.46,   472.00
  476.12,   474.34,   596.93
  478.30,   473.21,   721.91
  225.26,   226.17,   598.63
  228.94,   224.59,   723.59
  232.41,   223.00,   848.53
  226.56,   351.13,   600.19
  230.22,   349.65,   725.07
